Address: 0x0068, Set: 0x00000003, Miss, Tag: 0x00000000
Address: 0x01d4, Set: 0x00000002, Miss, Tag: 0x00000003
Address: 0x01d7, Set: 0x00000002, Hit, Tag: 0x00000003
Address: 0x01b3, Set: 0x00000001, Miss, Tag: 0x00000003
Address: 0x00b8, Set: 0x00000001, Miss, Tag: 0x00000001
Address: 0x0007, Set: 0x00000000, Miss, Tag: 0x00000000
Address: 0x0053, Set: 0x00000002, Miss, Tag: 0x00000000
Address: 0x0047, Set: 0x00000002, Hit, Tag: 0x00000000
Address: 0x0035, Set: 0x00000001, Miss, Tag: 0x00000000
Address: 0x013b, Set: 0x00000001, Miss, Tag: 0x00000002
Address: 0x0108, Set: 0x00000000, Miss, Tag: 0x00000002
Address: 0x0172, Set: 0x00000003, Miss, Tag: 0x00000002
Address: 0x0062, Set: 0x00000003, Hit, Tag: 0x00000000
Address: 0x013b, Set: 0x00000001, Hit, Tag: 0x00000002
Address: 0x0120, Set: 0x00000001, Hit, Tag: 0x00000002
Address: 0x00f7, Set: 0x00000003, Miss, Tag: 0x00000001
Address: 0x01f6, Set: 0x00000003, Miss, Tag: 0x00000003
Address: 0x01fc, Set: 0x00000003, Hit, Tag: 0x00000003
Address: 0x01a8, Set: 0x00000001, Miss, Tag: 0x00000003
Address: 0x018c, Set: 0x00000000, Miss, Tag: 0x00000003
Address: 0x017a, Set: 0x00000003, Miss, Tag: 0x00000002
Address: 0x0150, Set: 0x00000002, Miss, Tag: 0x00000002
Address: 0x0077, Set: 0x00000003, Miss, Tag: 0x00000000
Address: 0x0033, Set: 0x00000001, Miss, Tag: 0x00000000
Address: 0x00b1, Set: 0x00000001, Miss, Tag: 0x00000001
Address: 0x01fa, Set: 0x00000003, Miss, Tag: 0x00000003
Address: 0x004d, Set: 0x00000002, Hit, Tag: 0x00000000
Address: 0x01a9, Set: 0x00000001, Miss, Tag: 0x00000003
Address: 0x015c, Set: 0x00000002, Hit, Tag: 0x00000002
Address: 0x0042, Set: 0x00000002, Hit, Tag: 0x00000000
Address: 0x009c, Set: 0x00000000, Miss, Tag: 0x00000001
Address: 0x0004, Set: 0x00000000, Miss, Tag: 0x00000000
Address: 0x0004, Set: 0x00000000, Hit, Tag: 0x00000000
Address: 0x0060, Set: 0x00000003, Hit, Tag: 0x00000000
Address: 0x01b0, Set: 0x00000001, Hit, Tag: 0x00000003
Address: 0x000d, Set: 0x00000000, Hit, Tag: 0x00000000
Address: 0x0180, Set: 0x00000000, Miss, Tag: 0x00000003
Address: 0x00f8, Set: 0x00000003, Miss, Tag: 0x00000001
Address: 0x00f4, Set: 0x00000003, Hit, Tag: 0x00000001
Address: 0x00a4, Set: 0x00000001, Hit, Tag: 0x00000001
Address: 0x009b, Set: 0x00000000, Miss, Tag: 0x00000001
Address: 0x015f, Set: 0x00000002, Hit, Tag: 0x00000002
Address: 0x000a, Set: 0x00000000, Miss, Tag: 0x00000000
Address: 0x0198, Set: 0x00000000, Miss, Tag: 0x00000003
Address: 0x01ec, Set: 0x00000003, Miss, Tag: 0x00000003
Address: 0x01e2, Set: 0x00000003, Hit, Tag: 0x00000003
Address: 0x0113, Set: 0x00000000, Miss, Tag: 0x00000002
Address: 0x011a, Set: 0x00000000, Hit, Tag: 0x00000002
Address: 0x01e7, Set: 0x00000003, Hit, Tag: 0x00000003
Address: 0x00c3, Set: 0x00000002, Miss, Tag: 0x00000001
Address: 0x0167, Set: 0x00000003, Miss, Tag: 0x00000002
Address: 0x00c1, Set: 0x00000002, Hit, Tag: 0x00000001
Address: 0x002d, Set: 0x00000001, Miss, Tag: 0x00000000
Address: 0x00df, Set: 0x00000002, Hit, Tag: 0x00000001
Address: 0x00e6, Set: 0x00000003, Miss, Tag: 0x00000001
Address: 0x00c7, Set: 0x00000002, Hit, Tag: 0x00000001
Address: 0x0021, Set: 0x00000001, Hit, Tag: 0x00000000
Address: 0x0069, Set: 0x00000003, Miss, Tag: 0x00000000
Address: 0x012e, Set: 0x00000001, Miss, Tag: 0x00000002
Address: 0x0191, Set: 0x00000000, Hit, Tag: 0x00000003
Address: 0x01db, Set: 0x00000002, Miss, Tag: 0x00000003
Address: 0x01a2, Set: 0x00000001, Miss, Tag: 0x00000003
Address: 0x0159, Set: 0x00000002, Miss, Tag: 0x00000002
Address: 0x0005, Set: 0x00000000, Miss, Tag: 0x00000000
